,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002812.SZ,2019-01-02,28.5238,28.6577,27.9593,27.9826,28.7566,-0.7740,-2.6916,10261.0000,50034.9730
1,002812.SZ,2019-01-03,27.8429,28.1106,26.7836,26.8942,27.9826,-1.0884,-3.8896,15675.2200,73314.7360
2,002812.SZ,2019-01-04,26.4403,29.2688,25.6080,28.9196,26.8942,2.0254,7.5310,22486.2600,108783.2850
3,002812.SZ,2019-01-07,28.9196,29.5772,28.0233,28.6460,28.9196,-0.2736,-0.9461,22478.4100,109768.4710
4,002812.SZ,2019-01-08,28.6344,29.4783,28.4016,29.4201,28.6460,0.7741,2.7023,18092.5400,90147.4730
5,002812.SZ,2019-01-09,28.8090,28.9720,27.4122,27.9360,29.4201,-1.4841,-5.0445,31817.3600,153865.1360
6,002812.SZ,2019-01-10,27.9302,27.9302,27.0630,27.4297,27.9360,-0.5063,-1.8124,20885.6400,98272.2320
7,002812.SZ,2019-01-11,27.4297,27.6916,26.6614,26.9815,27.4297,-0.4482,-1.6340,13737.7900,63969.2410
8,002812.SZ,2019-01-14,27.0630,27.4588,26.3646,27.2609,26.9815,0.2794,1.0355,16673.4200,77087.7630
9,002812.SZ,2019-01-15,27.2027,27.2027,26.1958,26.7371,27.2609,-0.5238,-1.9214,27228.0200,124480.3560
10,002812.SZ,2019-01-16,26.6556,27.0339,26.3355,26.5101,26.7371,-0.2270,-0.8490,11742.2900,53763.8190
11,002812.SZ,2019-01-17,26.5392,27.4297,26.3646,27.2900,26.5101,0.7799,2.9419,14805.0600,69012.1890
12,002812.SZ,2019-01-18,27.3016,27.6275,26.7429,27.2492,27.2900,-0.0408,-0.1495,11607.2800,53983.4750
13,002812.SZ,2019-01-21,27.4006,28.2270,26.9408,27.5693,27.2492,0.3201,1.1747,15723.3400,74627.0410
14,002812.SZ,2019-01-22,27.5810,28.3318,27.3540,27.7672,27.5693,0.1979,0.7178,12539.8500,60175.3070
15,002812.SZ,2019-01-23,27.4238,28.8963,27.4238,28.6926,27.7672,0.9254,3.3327,16572.9700,80967.0720
16,002812.SZ,2019-01-24,28.5180,29.3037,28.4307,29.2339,28.6926,0.5413,1.8865,11241.0000,55937.1480
17,002812.SZ,2019-01-25,28.8381,29.9730,28.8265,29.1524,29.2339,-0.0815,-0.2788,16051.2500,81307.9130
18,002812.SZ,2019-01-28,29.1989,29.5598,27.9360,28.2561,29.1524,-0.8963,-3.0745,23783.3600,115998.3940
19,002812.SZ,2019-01-29,28.5180,28.6228,27.6799,28.3318,28.2561,0.0757,0.2679,10847.0800,52526.5100
20,002812.SZ,2019-01-30,28.2212,28.5064,26.9466,27.2376,28.3318,-1.0942,-3.8621,19202.3900,90737.9620
21,002812.SZ,2019-01-31,27.1212,27.8778,26.7429,26.9932,27.2376,-0.2444,-0.8973,15304.1500,71563.2520
22,002812.SZ,2019-02-01,27.0630,27.9069,27.0397,27.6974,26.9932,0.7042,2.6088,14107.2900,67066.1030
23,002812.SZ,2019-02-11,27.6974,28.8090,27.4820,28.6751,27.6974,0.9777,3.5299,21360.9100,103487.9960
24,002812.SZ,2019-02-12,28.9254,29.9323,28.4947,29.7053,28.6751,1.0302,3.5927,21678.5400,109883.6880
25,002812.SZ,2019-02-13,29.6820,31.2476,29.1175,30.9042,29.7053,1.1989,4.0360,26094.6400,137118.8850
