,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600741.SH,2019-01-02,16.9235,17.0611,16.5841,16.7400,16.8776,-0.1376,-0.8153,68175.4100,124434.3160
1,600741.SH,2019-01-03,16.3273,16.6942,15.7952,15.8686,16.7400,-0.8714,-5.2055,116668.1900,204329.1670
2,600741.SH,2019-01-04,15.7586,16.1897,15.6026,16.0246,15.8686,0.1560,0.9831,91963.8900,159223.2410
3,600741.SH,2019-01-07,16.3364,16.4373,16.0704,16.2906,16.0246,0.2660,1.6599,118781.3200,210230.8770
4,600741.SH,2019-01-08,16.2906,16.4098,16.1897,16.4006,16.2906,0.1100,0.6752,54265.4100,96511.0550
5,600741.SH,2019-01-09,16.7675,17.5839,16.7675,17.2720,16.4006,0.8714,5.3132,226334.4600,426364.8800
6,600741.SH,2019-01-10,17.1436,17.3729,16.9143,17.2078,17.2720,-0.0642,-0.3717,129040.3300,241331.2780
7,600741.SH,2019-01-11,17.3271,17.3638,16.9510,17.2078,17.2078,0.0000,0.0000,67157.4400,125974.1860
8,600741.SH,2019-01-14,17.2078,17.2996,16.9693,16.9969,17.2078,-0.2109,-1.2256,50776.1900,94585.9050
9,600741.SH,2019-01-15,17.1345,17.4830,16.9969,17.4280,16.9969,0.4311,2.5363,73694.1700,138631.8180
10,600741.SH,2019-01-16,17.3362,17.7123,17.3362,17.6665,17.4280,0.2385,1.3685,82821.5900,159008.6590
11,600741.SH,2019-01-17,17.6206,17.9600,17.5380,17.7123,17.6665,0.0458,0.2592,79864.8300,154746.4940
12,600741.SH,2019-01-18,17.7857,18.1618,17.7765,18.1343,17.7123,0.4220,2.3825,91487.4000,179407.5590
13,600741.SH,2019-01-21,17.9508,18.4370,17.9508,18.1434,18.1343,0.0091,0.0502,77345.8400,153544.4940
14,600741.SH,2019-01-22,18.1985,18.1985,17.7582,17.9050,18.1434,-0.2384,-1.3140,83471.9700,163484.9160
15,600741.SH,2019-01-23,18.0609,18.5746,17.9783,18.2535,17.9050,0.3485,1.9464,91162.9000,182392.6530
16,600741.SH,2019-01-24,18.3728,18.7672,18.2076,18.5654,18.2535,0.3119,1.7087,70865.6000,143085.5320
17,600741.SH,2019-01-25,18.7580,18.9139,18.5746,18.7580,18.5654,0.1926,1.0374,73186.1100,149489.3810
18,600741.SH,2019-01-28,18.8772,19.3084,18.8130,19.0057,18.7580,0.2477,1.3205,91957.8100,191553.2700
19,600741.SH,2019-01-29,19.2533,19.3175,18.3544,18.6112,19.0057,-0.3945,-2.0757,95192.8600,193150.2130
20,600741.SH,2019-01-30,18.6296,18.9048,18.3544,18.4186,18.6112,-0.1926,-1.0349,51656.2800,104633.0490
21,600741.SH,2019-01-31,18.5746,18.7580,18.4920,18.5379,18.4186,0.1193,0.6477,56951.3700,115668.8810
22,600741.SH,2019-02-01,18.7764,18.7764,18.4186,18.6663,18.5379,0.1284,0.6926,52143.3800,105708.5850
23,600741.SH,2019-02-11,18.7305,18.8039,18.3544,18.7305,18.6663,0.0642,0.3439,88107.3600,179257.9500
24,600741.SH,2019-02-12,18.7764,19.2075,18.6755,19.0240,18.7305,0.2935,1.5670,103990.2800,215770.6940
25,600741.SH,2019-02-13,19.1708,19.5193,18.8589,19.2992,19.0240,0.2752,1.4466,103318.4700,215472.7790
26,600741.SH,2019-02-14,19.2992,19.2992,18.8772,18.9965,19.2992,-0.3027,-1.5685,97646.8900,202971.0490
27,600741.SH,2019-02-15,18.8956,19.1249,17.7032,17.8407,18.9965,-1.1558,-6.0843,225445.3500,446967.7160
28,600741.SH,2019-02-18,17.9875,18.6204,17.8866,18.6112,17.8407,0.7705,4.3188,211383.9800,423287.0690
29,600741.SH,2019-02-19,18.6938,18.8864,18.4461,18.5654,18.6112,-0.0458,-0.2461,137706.7300,279907.5950
30,600741.SH,2019-02-20,18.5746,19.0974,18.5470,19.0424,18.5654,0.4770,2.5693,119162.1500,245727.4850
31,600741.SH,2019-02-21,19.0148,19.2808,18.7672,18.9690,19.0424,-0.0734,-0.3855,106555.0200,221134.9510
32,600741.SH,2019-02-22,18.8864,19.0515,18.5195,18.8314,18.9690,-0.1376,-0.7254,81969.1400,167950.5870
33,600741.SH,2019-02-25,18.9139,19.7303,18.8956,19.7211,18.8314,0.8897,4.7246,150437.4400,317419.2480
34,600741.SH,2019-02-26,19.7303,20.0422,19.5377,19.5652,19.7211,-0.1559,-0.7905,124591.9400,268401.8070
35,600741.SH,2019-02-27,19.5652,19.8771,19.0332,19.1616,19.5652,-0.4036,-2.0628,101064.9500,214475.9020
36,600741.SH,2019-02-28,19.1983,19.3542,19.0057,19.0332,19.1616,-0.1284,-0.6701,96233.8300,201106.4880
37,600741.SH,2019-03-01,19.2992,19.3267,18.5746,19.0057,19.0332,-0.0275,-0.1445,132775.0600,273086.5880
38,600741.SH,2019-03-04,19.0607,19.9138,19.0607,19.3817,19.0057,0.3760,1.9784,251818.9400,536521.3900
39,600741.SH,2019-03-05,19.4184,19.5652,19.0057,19.2350,19.3817,-0.1467,-0.7569,163152.3900,342640.8380
40,600741.SH,2019-03-06,19.2625,19.8587,19.2350,19.8404,19.2350,0.6054,3.1474,174670.1500,373538.6390
41,600741.SH,2019-03-07,19.8129,19.8312,19.0240,19.0974,19.8404,-0.7430,-3.7449,209102.6200,438524.0450
42,600741.SH,2019-03-08,18.9690,19.0882,18.3544,18.3911,19.0974,-0.7063,-3.6984,130615.5600,266094.0840
43,600741.SH,2019-03-11,18.6021,18.9231,18.3452,18.7121,18.3911,0.3210,1.7454,175220.3800,356171.1760
